SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanococci,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__Spirochaetia,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes,k__Eukaryota|p__Ascomycota|c__Saccharomycetes
HD-10,0.0,0.0,0.0,0.06939,0.0,68.27344000000002,0.0,0.0,0.0,0.0,0.0,0.01279,20.41449,0.31616,3.68354,1.44325,0.0,0.27391,2.1183199999999998,0.0,3.39128,0.0,0.0,0.0,0.0034,0.0,0.0
HD-11,0.0,0.0,0.0,0.22682999999999998,0.0,41.644549999999995,0.0,0.0,0.0,0.0,0.0,0.0054399999999999995,44.81119,0.02597,2.6165,0.0,0.0,0.80663,1.15177,0.0,0.18563,0.0,0.0,0.0,8.52552,0.0,0.0
HD-12,0.0,0.0,0.0,0.27806,0.0,59.53684,0.0,0.0,0.0,0.0,0.0,0.012360000000000001,36.74885999999999,0.007859999999999999,0.00147,0.7280800000000001,0.0,0.25878,0.55206,0.0,1.87085,0.0,0.0,0.0,0.00481,0.0,0.0
HD-13,0.0,0.0,0.0,0.17676,0.0,65.24801,0.0,0.0,0.0,0.0,0.0,0.20096,33.022909999999996,0.0,0.09078,0.0,0.0,0.7259,0.0,0.0,0.51606,0.0,0.0,0.0,0.01864,0.0,0.0
HD-14,0.0,0.0,0.0,0.32152000000000003,0.0,81.43028000000001,0.0,0.0,0.0,0.0,0.00602,0.0494,15.43673,0.09304,0.0,0.04214,0.0,0.22804999999999997,1.10982,0.0,1.2829799999999998,0.0,0.0,0.0,0.0,0.0,0.0
HD-15,0.0,0.0,0.0,0.08538000000000001,0.0,62.76019,0.0,0.0,0.0,0.0,0.0,0.07286999999999999,28.009170000000005,0.045129999999999997,0.14378,0.0,0.0,0.36654000000000003,0.03966,0.0,8.477269999999999,0.0,0.0,0.0,0.0,0.0,0.0
HD-16,0.0,0.0,0.0,0.14794,0.0,40.894,0.0,0.0,0.0,0.0,0.0,0.28493,57.39044000000002,0.014990000000000002,0.01919,0.00265,0.0,0.6752199999999999,0.40518000000000004,0.0,0.16543,0.0,0.0,0.0,0.0,0.0,0.0
HD-17,0.0,0.0,0.0,5.93298,0.0,56.26498999999999,0.0,0.0,0.0,0.0,0.0,0.92891,31.973340000000004,0.32035,1.2641399999999998,0.009980000000000001,0.0,0.0,2.6679999999999997,0.0,0.63728,0.0,0.0,0.0,0.0,0.0,0.0
HD-18,0.39518000000000003,0.0,0.0,0.6504100000000002,0.0,32.41605,0.0,0.0,0.0,0.0,0.0,1.49873,34.61818999999999,0.9517300000000002,5.03835,0.00411,0.0,0.24745999999999999,1.0117699999999998,0.0,17.20794,0.0,1.10504,0.0,4.8550699999999996,0.0,0.0
HD-19,0.0,0.0,0.0,0.08471000000000001,0.0,50.742810000000006,0.0,0.0,0.00235,0.0,0.0,0.45489999999999997,43.18945999999999,0.1744,0.10917,3.69786,0.0,1.3120899999999998,0.04373,0.0,0.18848,0.0,0.0,0.0,0.0,0.0,0.0
