SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales,k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales
CCIS00146684ST-4-0,0.0,0.0,0.016919999999999998,10.1722,0.18756,18.32385,0.00201,0.0,0.00364,0.11224999999999999,65.05762,0.13503,3.6281800000000004,0.0,0.29292,0.0,0.31344,0.0,0.0,0.08298,0.00521,0.0,0.0,0.0,1.6662,0.0
CCIS00281083ST-3-0,0.14833,0.0,0.0,0.0,0.0,72.7124,0.0,0.0,0.0,0.44882,24.87219,0.049629999999999994,1.59948,0.0,0.0,0.0,0.04117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10657,0.02143
CCIS02124300ST-4-0,0.0,0.0,0.12190000000000001,4.73649,1.04861,12.87648,0.0,0.0,0.01067,1.2542899999999997,66.12992000000001,0.07680999999999999,11.04428,0.0,1.32875,0.0,0.32138999999999995,0.0,0.0,0.037450000000000004,0.09957,0.22623,0.0,0.0,0.6872199999999999,0.0
CCIS02379307ST-4-0,0.04584,0.0,0.0,0.0014199999999999998,0.0,51.574010000000015,0.0,0.0,0.25849,0.7764,45.67960999999999,0.0547,0.10971,0.48234,0.0,0.0,0.26492,0.0,0.0,0.35771,0.12217,0.0,0.0,0.0,0.27271,0.0
CCIS03473770ST-4-0,6.19242,0.0,0.054900000000000004,2.437250000000001,0.29278,21.723039999999997,0.0016300000000000002,0.0,0.01726,5.496839999999997,59.42572000000002,0.012759999999999999,1.0216699999999999,0.0,0.030549999999999997,0.0,0.25432000000000005,0.0,0.0,1.42044,0.0035399999999999997,0.0,0.0,0.0,1.61489,0.0
CCIS06260551ST-3-0,49.058170000000004,0.0,0.01852,0.05238999999999999,0.40715999999999997,12.947480000000002,0.0,0.0,0.59646,1.1058600000000003,25.900209999999994,1.1744999999999999,0.01647,0.0,0.0,0.0,0.06015,0.0,0.0,8.15475,0.08596000000000001,0.0,0.0,0.0,0.42193,0.0
CCIS07539127ST-4-0,3.53105,0.0,0.013739999999999999,4.079929999999999,1.4024400000000001,36.58308,0.00279,0.0,0.00198,10.255710000000002,41.17806,0.11618,1.3069399999999998,0.0,0.041409999999999995,0.0,0.57781,0.0,0.0,0.09874,0.0912,0.0,0.0,0.0,0.71895,0.0
CCIS07648107ST-4-0,0.35795,0.0,0.00167,1.88133,3.2039,39.93963,0.0,0.0,0.0,8.519669999999998,40.396220000000014,0.9606399999999999,3.3083700000000005,0.0,0.5544600000000001,0.0,0.87122,0.0,0.0,0.0030800000000000003,0.0,0.0018100000000000002,0.0,0.0,0.0,0.0
CCIS08668806ST-3-0,4.10101,0.0,0.0,0.70738,0.021269999999999997,36.73179,0.0,0.0,0.0,0.13452,57.14293999999999,0.0,0.67661,0.0,0.17159,0.0,0.13671,0.0,0.0,0.13075,0.0,0.0,0.0,0.0,0.04541,0.0
CCIS09568613ST-4-0,0.88997,0.0,0.02839,12.24557,0.35807999999999995,23.95275,0.0,0.0,0.00099,2.5107799999999996,30.78572000000001,4.00704,2.08194,0.0,0.1451,0.0,0.11810999999999999,0.01209,0.0,20.641640000000002,0.3678,0.26186,0.0,0.0,1.59217,0.0
