SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Deferribacteres,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Synergistetes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota
CCIS00146684ST-4-0,0.0,10.37668,18.32385,0.00201,0.0,68.93672,0.0,0.69455,0.0,0.0,1.6662,0.0
CCIS00281083ST-3-0,0.14833,0.0,72.7124,0.0,0.0,26.970119999999998,0.0,0.04117,0.0,0.0,0.10657,0.02143
CCIS02124300ST-4-0,0.0,5.907000000000002,12.87648,0.0,0.0,78.51597000000002,0.0,2.0133900000000002,0.0,0.0,0.6872199999999999,0.0
CCIS02379307ST-4-0,0.04584,0.0014199999999999998,51.574010000000015,0.0,0.0,46.87890999999999,0.48234,0.7448,0.0,0.0,0.27271,0.0
CCIS03473770ST-4-0,6.19242,2.7849299999999997,21.723039999999997,0.0016300000000000002,0.0,65.97425000000005,0.0,1.70885,0.0,0.0,1.61489,0.0
CCIS06260551ST-3-0,49.058170000000004,0.47807,12.947480000000002,0.0,0.0,28.7935,0.0,8.30086,0.0,0.0,0.42193,0.0
CCIS07539127ST-4-0,3.53105,5.49611,36.58308,0.00279,0.0,52.858869999999996,0.0,0.8091600000000001,0.0,0.0,0.71895,0.0
CCIS07648107ST-4-0,0.35795,5.0869,39.93963,0.0,0.0,53.184899999999985,0.0,1.4305700000000001,0.0,0.0,0.0,0.0
CCIS08668806ST-3-0,4.10101,0.72865,36.73179,0.0,0.0,57.95406999999999,0.0,0.43905,0.0,0.0,0.04541,0.0
CCIS09568613ST-4-0,0.88997,12.63204,23.95275,0.0,0.0,39.38647000000001,0.0,21.5466,0.0,0.0,1.59217,0.0
CCIS10793554ST-4-0,0.00742,0.25739999999999996,12.874859999999998,0.0,0.0,86.61194999999998,0.0,0.2484,0.0,0.0,0.0,0.0
CCIS11015875ST-4-0,4.41946,7.8854500000000005,32.802299999999995,0.0,0.0,45.23638000000002,1.25816,7.20296,0.00565,0.0,1.1862700000000002,0.00332
CCIS11354283ST-4-0,2.5967499999999997,5.0386299999999995,15.860719999999995,0.0,0.0,73.86260000000003,0.01726,1.115,0.0,0.0,1.5090299999999999,0.0
CCIS11558985ST-4-0,0.0,0.10325999999999999,71.75611,0.0,0.0,26.304830000000006,0.0,1.79438,0.0,0.0,0.0414,0.0
CCIS12370844ST-4-0,0.09316,0.33565,23.057379999999995,0.0,0.0,34.35239,41.906240000000004,0.0,0.0,0.0,0.25519000000000003,0.0
CCIS12656533ST-4-0,13.97543,3.72742,17.58653,0.006229999999999999,0.0,35.02487000000001,0.0,0.6689199999999998,0.0,0.0,29.010640000000002,0.0
CCIS13047523ST-4-0,0.00754,0.13713999999999998,30.30566999999999,0.01474,0.0,68.98946000000001,0.0,0.54544,0.0,0.0,0.0,0.0
CCIS14449628ST-4-0,0.0,0.43383,47.203529999999986,0.0,0.0,46.675689999999996,0.10761,3.3710500000000003,0.030289999999999997,0.0,0.0,2.1780399999999998
