SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales,k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales,k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales
MH0002,0.0,0.0,0.00445,0.0,0.86628,0.48652000000000006,0.0,31.467690000000005,0.0,0.0,0.0,0.0,0.0,0.00967,0.00128,0.18777,60.83633999999998,0.0,0.08442999999999999,0.020280000000000003,0.0,0.0,0.0,0.36796999999999996,0.0,0.0,0.14525000000000002,0.0,0.0,0.0,0.0,0.47839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04371,0.0,0.0
MH0003,0.0,0.0,0.0,0.09533,0.54315,0.54536,0.0,27.636210000000005,0.0,0.0,0.0,0.0,0.0,0.02036,0.00893,15.63771,49.03158,0.0,0.02321,5.2047500000000015,0.0,0.0,0.0,0.13232,0.0,0.0,0.78816,0.0,0.0,0.0,0.0,0.21737,0.0,0.11556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH0006,0.0,0.0,0.00225,0.0,0.0325,0.16479,0.0,56.83830999999999,0.0,0.0,0.0,0.0,0.0,0.03431,0.0,0.12089000000000001,35.52873999999999,0.0,0.61281,5.81507,0.0,0.0,0.006690000000000001,0.28568000000000005,0.0,0.0,0.53384,0.0,0.0,0.0,0.0,0.00638,0.0,0.00595,0.0,0.0,0.0,0.0,0.0,0.0,0.01181,0.0,0.0
MH0009,0.27929,0.0,0.01187,0.01554,0.30877,0.12806,0.0,20.71868999999999,0.0,0.02453,0.007240000000000001,0.0,0.0,0.025830000000000002,0.0,0.11851,65.29779000000002,0.0,0.9213,8.35036,0.0,0.0,0.0,0.36578,0.0,0.0,0.32836000000000004,0.0,0.0,0.0,0.0,1.28639,0.0,0.2244,0.0,0.0,0.0,0.0,0.0,0.0,1.58443,0.0,0.00286
MH0011,4.0086,0.01828,0.0,0.01989,1.3867299999999998,0.0874,0.0,38.6653,0.02555,0.0,0.0,0.0,0.0,0.04231,0.0,0.26180000000000003,46.938419999999994,0.0,1.3301,0.22216000000000002,0.0,0.0,0.0,0.2128,0.0,0.0,1.14875,0.0,0.0,0.0,0.0,0.029349999999999998,0.0,0.00063,0.0,0.0,0.0,0.0,0.0,0.0,5.60197,0.0,0.0
MH0012,0.43068,0.0,0.0026100000000000003,0.007890000000000001,3.80659,0.44503,0.0,41.70652,0.0,0.0,0.0,0.0,0.0,0.05671,0.0,0.020169999999999997,40.806039999999996,0.0,1.03133,3.9560199999999996,0.0,0.0,0.0,0.88967,0.0,0.0,0.5462199999999999,0.00247,0.39196,0.0,0.0,0.72177,0.0,0.11115000000000001,0.0,0.0,0.0,0.0,0.0,0.0,5.06686,0.0,0.00031
MH0014,0.06246,0.0,0.00979,0.0,0.29091999999999996,0.12686999999999998,0.0,30.955230000000004,0.00644,0.01365,0.0,0.0,0.0,0.01705,0.0,0.014960000000000001,41.89683,0.0,0.14835,0.26691000000000004,0.0,0.0,0.0,0.27716,0.0,0.0,0.11788,0.0,0.0,0.0,0.0,25.608269999999997,0.0,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.1845,0.0,0.0
MH0016,0.00236,0.0,0.0,0.0,0.0,0.3809,0.0,56.67576999999999,0.01856,0.12577,0.0,0.0,0.0,0.0,0.0,0.09102,41.598220000000005,0.0,0.11904,0.10091,0.0,0.0,0.0,0.39387,0.0,0.0,0.40917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01914,0.0,0.0,0.0,0.00852,0.0,0.05678,0.0,0.0
MH0020,0.0,0.0,0.0,0.0,1.9205299999999998,0.5830700000000001,0.0,67.28198,0.01326,0.01668,0.0,0.0,0.0,0.01756,0.0,0.017920000000000002,22.067190000000004,0.0,0.07223,6.015830000000001,0.0,0.0,0.0,0.76291,0.0,0.0,1.22523,0.0,0.0,0.0,0.0,0.00564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH0021,0.12352,0.0,0.0,0.004229999999999999,1.29385,0.23865,0.0,42.90053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17842,45.75057999999999,0.0,0.03687,5.81178,0.0,0.0,0.0,2.64597,0.0,0.0,0.38785000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.6029899999999999,0.0,0.01704
