SampleID,k__Archaea|p__Euryarchaeota|c__Archaeoglobi,k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanococci,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Aquificae|c__Aquificae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia,k__Bacteria|p__Deferribacteres|c__Deferribacteres,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__Spirochaetia,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes,k__Eukaryota|p__Ascomycota|c__Saccharomycetes,k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes,k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname
MH0003,0,0,0,0,1.18363,0,27.64497,0,0,0,0,0,0.02036,15.64538,49.02561,0.02321,5.20361,0,0,0.13231,0.78803,0,0.33287,0,0,0,0,0,0,0,0
MH0006,0,0,0,0.00225,0.1972,0,56.83952,0,0,0,0,0,0.03431,0.1209,35.5278,0.61286,5.81496,0,0.0067,0.2857,0.53367,0,0.01233,0,0,0,0.01181,0,0,0,0
MH0011,0,4.00849,0.01828,0,1.49357,0,38.66557,0.02555,0,0,0,0,0.04231,0.26179,46.93975,1.32957,0.22216,0,0,0.21279,1.14872,0,0.02998,0,0,0,5.60148,0,0,0,0
MH0012,0,0.43079,0,0.00261,4.2605,0,41.7209,0,0,0,0,0,0.05672,0.02017,40.78755,1.0316,3.95706,0,0,0.88956,0.54635,0.00247,1.2252,0,0,0,5.06821,0,0.00031,0,0
MH0014,0,0.06246,0,0.00979,0.41779,0,30.94941,0.00644,0.01365,0,0,0,0.01705,0.01496,41.89493,0.14834,0.26691,0,0,0.27714,0.11788,0,25.61874,0,0,0,0.1845,0,0,0,0
MH0016,0,0.00236,0,0,0.38094,0,56.67494,0.01856,0.12578,0,0,0,0,0.09102,41.59885,0.11906,0.10093,0,0,0.39391,0.40921,0,0.01914,0,0,0.00852,0.05679,0,0,0,0
MH0020,0,0,0,0,2.50402,0,67.28928,0.01326,0.01669,0,0,0,0.01756,0.01793,22.05875,0.07224,6.01633,0,0,0.76283,1.22543,0,0.00564,0,0,0,0,0,0,0,0
MH0024,0,0.11792,0,0.00613,0.12394,0,67.9722,0,0,0,0,0,0.03333,0.01847,31.01647,0.04872,0.59501,0,0,0.01118,0,0,0.03432,0,0,0,0.02184,0,0.00048,0,0
MH0025,0,0.52047,0,0.13182,3.54109,0,31.8655,0,0.02687,0,0,0,0.0253,0.23026,47.22828,0.7269,0.14356,0,0,0.38827,0.53744,0,11.22359,0.15232,0,0,3.25828,0,0,0,0
MH0026,0,0,0,0,0.59404,0,63.52388,0,0,0,0,0,0,0.01121,34.68976,0.24897,0.07517,0,0.0322,0.44843,0.12055,0,0,0,0,0,0.2558,0,0,0,0
MH0028,0,0.06228,0,0.00531,1.09492,0,64.33301,0.00872,0.07238,0,0,0,0,0.0076,30.56787,0.18123,0.19164,0,0,0.33609,0.6201,0,1.95273,0,0,0,0.56613,0,0,0,0
MH0030,0,0.10207,0.00968,0,1.18503,0,14.69481,0,0,0,0.01027,0,0.02689,0.98518,77.45449,2.66749,1.88836,0,0,0.52538,0.37964,0,0.06433,0,0,0,0,0,0.00642,0,0
MH0031,0,0.28367,0,0,1.28685,0,21.61471,0,0,0,0,0,0.01032,0.12984,73.82079,0.75927,0.97331,0,0.0282,0.37946,0.02086,0,0.23188,0,0,0,0.4459,0,0.01491,0,0
MH0032,0,0.00925,0,0.00631,0.42849,0,71.12094,0,0,0,0,0,0.01372,0.08098,24.9385,0.23106,2.42915,0,0,0.59024,0.03671,0,0.05865,0,0,0,0.05595,0,0,0,0
MH0033,0,0.11188,0,0,0.87609,0,30.17571,0.01775,0.069,0,0,0,0.01176,0.13697,61.23926,0.06394,6.08165,0,0,0.05738,0.52802,0,0.61963,0,0,0,0.01103,0,0,0,0
MH0034,0,0,0,0,0.1642,0,79.20857,0.052,0.04448,0,0,0,0.01148,0.06375,16.23469,0.00926,3.46773,0,0,0.62636,0.11527,0,0,0.00224,0,0,0,0,0,0,0
MH0035,0,0.07485,0,0,2.69323,0,40.57529,0.03128,0.01674,0,0,0,0,0.95164,41.43576,0.01575,8.69684,0,0,0.09559,0.35431,0,0.33766,0.00271,0,0.00166,4.71673,0,0,0,0
