SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Aquificae,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deferribacteres,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Synergistetes,k__Bacteria|p__Tenericutes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota,k__Eukaryota|p__Eukaryota_noname
MH0003,0.0,0.0,1.1836300000000002,0.0,27.644969999999997,0.0,0.0,0.0,0.02036,69.89781000000002,0.0,1.25321,0.0,0.0,0.0,0.0,0.0,0.0
MH0006,0.0,0.00225,0.1972,0.0,56.83952,0.0,0.0,0.0,0.03431,42.07651999999998,0.0,0.8384,0.0,0.0,0.0,0.01181,0.0,0.0
MH0011,4.02677,0.0,1.4935699999999998,0.0,38.69112,0.0,0.0,0.0,0.04231,48.75326999999998,0.0,1.39149,0.0,0.0,0.0,5.6014800000000005,0.0,0.0
MH0012,0.43079,0.0026100000000000003,4.2605,0.0,41.7209,0.0,0.0,0.0,0.056720000000000007,45.79638,0.0,2.6635799999999996,0.0,0.0,0.0,5.06821,0.00031,0.0
MH0014,0.06246,0.00979,0.41779,0.0,30.969500000000004,0.0,0.0,0.0,0.01705,42.32514,0.0,26.013759999999998,0.0,0.0,0.0,0.1845,0.0,0.0
MH0016,0.00236,0.0,0.38094000000000006,0.0,56.819280000000006,0.0,0.0,0.0,0.0,41.90985999999998,0.0,0.8222600000000001,0.0,0.0,0.00852,0.05679,0.0,0.0
MH0020,0.0,0.0,2.50402,0.0,67.31922999999999,0.0,0.0,0.0,0.01756,28.165250000000007,0.0,1.9939000000000002,0.0,0.0,0.0,0.0,0.0,0.0
MH0024,0.11792,0.00613,0.12394000000000001,0.0,67.9722,0.0,0.0,0.0,0.03333,31.678669999999997,0.0,0.0455,0.0,0.0,0.0,0.021840000000000002,0.00047999999999999996,0.0
MH0025,0.52047,0.13182,3.54109,0.0,31.89237,0.0,0.0,0.0,0.0253,48.328999999999986,0.0,12.149300000000002,0.15232,0.0,0.0,3.25828,0.0,0.0
MH0026,0.0,0.0,0.5940400000000001,0.0,63.52387999999999,0.0,0.0,0.0,0.0,35.025110000000005,0.0,0.60118,0.0,0.0,0.0,0.2558,0.0,0.0
MH0028,0.06228,0.0053100000000000005,1.0949200000000001,0.0,64.41410999999998,0.0,0.0,0.0,0.0,30.94834,0.0,2.90892,0.0,0.0,0.0,0.56613,0.0,0.0
MH0030,0.11175,0.0,1.1850299999999998,0.0,14.694809999999999,0.0,0.01027,0.0,0.026889999999999997,82.99552000000003,0.0,0.9693500000000002,0.0,0.0,0.0,0.0,0.00642,0.0
MH0031,0.28367,0.0,1.2868499999999998,0.0,21.61471,0.0,0.0,0.0,0.010320000000000001,75.68320999999999,0.0,0.6604,0.0,0.0,0.0,0.4459,0.014910000000000001,0.0
MH0032,0.009250000000000001,0.0063100000000000005,0.42849,0.0,71.12093999999998,0.0,0.0,0.0,0.01372,27.679689999999994,0.0,0.6856,0.0,0.0,0.0,0.05595,0.0,0.0
MH0033,0.11188,0.0,0.87609,0.0,30.262459999999997,0.0,0.0,0.0,0.01176,67.52182,0.0,1.2050300000000003,0.0,0.0,0.0,0.01103,0.0,0.0
MH0034,0.0,0.0,0.16419999999999998,0.0,79.30505000000001,0.0,0.0,0.0,0.011479999999999999,19.775429999999997,0.0,0.74163,0.00224,0.0,0.0,0.0,0.0,0.0
MH0035,0.07484999999999999,0.0,2.69323,0.0,40.62331,0.0,0.0,0.0,0.0,51.099990000000005,0.0,0.78756,0.00271,0.0,0.0016600000000000002,4.71673,0.0,0.0
MH0036,0.11284,0.04446,0.06246,0.0,39.82574999999999,0.0,0.0,0.0,0.02418,59.66570999999999,0.0,0.25836000000000003,0.0,0.0,0.0,0.006220000000000001,0.0,0.0
MH0037,0.0,0.00725,0.46381000000000006,0.0,45.9367,0.0,0.0,0.0,0.04732,45.663709999999995,0.0,1.70436,0.0,0.0,0.0,6.17625,0.00057,0.0
MH0038,0.0,0.018609999999999998,0.90497,0.0,43.35982999999999,0.0,0.0,0.0,0.02698,54.592479999999995,0.0,1.09074,0.0,0.0,0.00343,0.003,0.0,0.0
MH0039,0.00727,0.0231,1.1630900000000002,0.0,59.5043,0.0,0.0,0.0,0.02512,36.76175999999999,0.0,2.28149,0.0,0.0,0.0,0.23388,0.0,0.0
MH0040,0.0,0.0139,0.82265,0.0,43.03937,0.0,0.0,0.0,0.10584,55.21844000000001,0.0,0.08212,0.0,0.0,0.0,0.7177,0.0,0.0
MH0041,0.0,0.01209,9.40077,0.0,35.47876000000001,0.0,0.0,0.0,0.00657,52.39458,0.0,2.5786900000000004,0.0,0.0,0.0,0.12853,0.0,0.0
MH0042,0.20212000000000002,0.00575,4.9614400000000005,0.0,32.58973999999999,0.0013800000000000002,0.0,0.0,0.07503,60.51293000000001,0.0,0.6779200000000001,0.0,0.0,0.0,0.9737,0.0,0.0
MH0043,0.0,0.01445,0.8933900000000001,0.0,45.82153000000001,0.00035,0.0,0.0,0.0576,51.09474,0.0,0.99727,0.0,0.0,0.0,1.12063,0.0,0.0
