SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales,k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales
CON-001,0.33364,0.0,0.0,0.0,3.86983,0.91759,0.0,49.427479999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35352,29.238250000000008,4.90128,0.04073,0.0,0.0,0.0,0.0,0.0,0.0,0.6232900000000001,0.0,0.0,1.9335600000000002,0.0,0.0,0.0,0.0,0.0,0.31004,0.0,0.009059999999999999,0.0,0.0,0.0,0.0,0.07146,0.0,7.9702399999999995,0.0
CON-002,0.62578,0.0,0.0,0.0,0.0028399999999999996,0.037939999999999995,0.0,61.022510000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0009199999999999999,0.14900999999999998,16.24828,0.13815,20.79788,0.0,0.0,0.0,0.0,0.0,0.0,0.06191000000000001,0.03878,0.0,0.6949099999999999,0.0,0.0,0.0,0.0,0.0,0.18105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-003,0.0,0.0,0.0,0.01516,0.41831999999999997,0.07544000000000001,0.0,62.29885,0.0,0.0,0.0,0.0,0.0,0.0,0.01703,7.90249,7.923089999999999,1.09562,5.32025,0.0,0.0,0.0,0.0,0.0,0.0,0.74937,0.0,0.0,0.6877,0.03632,0.0,0.0,0.0,0.0,12.68949,0.0,0.6497499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.12113,0.0
CON-004,0.0,0.0,0.0,0.02847,0.03927,0.24739,0.0,68.10742,0.00656,0.0,0.0,0.0,0.00435,0.0,0.00323,0.34319999999999995,23.732129999999998,0.10346,3.2286,2.26471,0.0,0.0,0.0,0.0,0.0,1.0596700000000001,0.0,0.01697,0.68821,0.0,0.0,0.0,0.0,0.0,0.00754,0.0,0.11877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-005,0.56232,0.0,0.0,0.02221,0.12154,1.04124,0.0,51.05207000000001,0.0,0.0,0.008539999999999999,0.0,0.00599,0.0,0.0,0.059109999999999996,25.303579999999997,2.9048899999999995,12.00322,0.48953,0.0,0.0,0.0,0.0,0.0,1.9690400000000001,0.0,0.0,0.71012,0.00958,0.0,0.0,0.0,0.0,0.8779399999999999,0.0,0.00349,0.0,0.0,0.0,0.0,0.0,0.0,2.8555599999999997,0.0
CON-006,0.0,0.0,0.0,0.0,4.47911,1.02659,0.0,64.56159999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13367,21.035549999999997,0.2192,4.798239999999999,0.00271,0.0,0.0,0.0,0.0,0.0,0.0781,0.0,0.0,1.6153400000000002,0.0,0.0,0.0,0.0,0.0,1.2801900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76968,0.0
CON-007,0.0,0.0,0.0,0.00484,0.052289999999999996,0.06753,0.0,78.51726000000001,0.0,0.0,0.0011,0.00359,0.0,0.0,0.00389,0.16523,10.225729999999997,0.2428,0.03599,1.73748,0.0,0.0,0.0,0.0,0.0,0.32576,0.0,0.0,1.3666199999999997,0.0,0.0,0.0,0.0,0.0,7.22118,0.0,0.01346,0.01463,0.0,0.0,0.0,0.0,0.0,0.00059,0.0
CON-008,0.0,0.0,0.0,0.0,0.50197,1.60556,0.0,82.0246,0.0,0.0,0.01636,0.0,0.0,0.0,0.00266,0.18852000000000002,10.59819,0.22132999999999997,0.01898,0.00532,0.0,0.0,0.0,0.0,0.0,2.67293,0.0,0.0,2.00891,0.0,0.0,0.0,0.0,0.0,0.13468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-009,0.0,0.0,0.0,0.0,1.08589,0.08479,0.0,76.91025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03607,6.57599,0.21058999999999997,9.383839999999998,0.0,0.0,0.0,0.0,0.0,0.0,4.57264,0.0,0.0,0.06249,0.0,0.0,0.0,0.0,0.0,1.07745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CON-010,0.0,0.0,0.0,0.025099999999999997,5.4131100000000005,1.23432,0.0,8.6714,0.0,0.0,0.07780000000000001,0.0,0.0,0.0,0.00033999999999999997,2.7563699999999995,63.56609999999999,0.08256000000000001,1.78425,0.0,0.0,0.0,0.0,0.0,0.0,0.28814,0.0,0.00312,0.11478,0.0,0.0,0.0,0.0,0.0,15.888650000000002,0.0,0.09396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
