SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Planctomycetes,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Synergistetes,k__Bacteria|p__Tenericutes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota
CON-001,0.33364,0.0,4.78742,49.427479999999996,0.0,0.0,0.0,34.53378,0.0,0.0,2.87595,0.0,0.07146,0.0,7.9702399999999995,0.0
CON-002,0.62578,0.0,0.04078,61.022510000000004,0.0,0.0,0.0,37.33424,0.0,0.0,0.9766499999999999,0.0,0.0,0.0,0.0,0.0
CON-003,0.0,0.0,0.5089199999999999,62.29885,0.0,0.0,0.0,22.258479999999995,0.0,0.0,14.812629999999999,0.0,0.0,0.0,0.12113,0.0
CON-004,0.0,0.0,0.31513,68.11398,0.0,0.0,0.00435,27.41061999999999,2.26471,0.0,1.89116,0.0,0.0,0.0,0.0,0.0
CON-005,0.56232,0.0,1.18499,51.05207000000001,0.008539999999999999,0.0,0.00599,40.27079999999999,0.48953,0.0,3.5701700000000005,0.0,0.0,0.0,2.8555599999999997,0.0
CON-006,0.0,0.0,5.505700000000001,64.56159999999998,0.0,0.0,0.0,26.186659999999993,0.00271,0.0,2.97363,0.0,0.0,0.0,0.76968,0.0
CON-007,0.0,0.0,0.12466,78.51726000000001,0.0011,0.00359,0.0,10.673639999999999,1.73748,0.0,8.941650000000001,0.0,0.0,0.0,0.00059,0.0
CON-008,0.0,0.0,2.1075299999999997,82.0246,0.01636,0.0,0.0,11.029680000000003,0.00532,0.0,4.8165200000000015,0.0,0.0,0.0,0.0,0.0
CON-009,0.0,0.0,1.17068,76.91025,0.0,0.0,0.0,16.206489999999995,0.0,0.0,5.71258,0.0,0.0,0.0,0.0,0.0
CON-010,0.0,0.0,6.67253,8.6714,0.07780000000000001,0.0,0.0,68.18961999999996,0.0,0.0,16.38865,0.0,0.0,0.0,0.0,0.0
CON-011,0.0,0.0,5.5664,62.792500000000004,0.0,0.0,0.0,26.927010000000006,0.0,0.0,4.6470199999999995,0.0,0.06712,0.0,0.0,0.0
CON-012,0.0,0.0,0.2544,42.238279999999996,0.0,0.0,0.0,47.09034999999999,0.011770000000000001,0.0,10.40522,0.0,0.0,0.0,0.0,0.0
CON-013,0.0,0.0,0.80071,62.38174,0.0,0.0,0.0,10.44275,0.22134,0.0,26.15344,0.0,0.0,0.0,0.0,0.0
CON-014,0.0,0.0,0.4345199999999999,76.04705000000001,0.0010400000000000001,0.0,0.0,22.372089999999993,0.0,0.0,1.1453099999999998,0.0,0.0,0.0,0.0,0.0
CON-015,0.0,0.0,1.3340800000000002,10.863549999999998,0.042789999999999995,0.0,0.0,66.54473000000002,0.00983,0.0,21.20506,0.0,0.0,0.0,0.0,0.0
CON-016,0.0,0.0,14.371400000000001,26.41972,0.0,0.0,0.0,57.52742000000001,0.00053,0.0,1.68093,0.0,0.0,0.0,0.0,0.0
CON-017,0.0,0.0,0.4283699999999999,47.87712,0.01769,0.0,0.0,47.92635,2.3800399999999997,0.0,1.3704399999999999,0.0,0.0,0.0,0.0,0.0
CON-018,0.0,0.0,0.21988,85.68756,0.0,0.0,0.0,7.6401400000000015,0.14768,0.0,6.30475,0.0,0.0,0.0,0.0,0.0
CON-019,0.0,0.0,1.02585,78.96264000000001,0.0,0.0,0.0,16.04945,2.18211,0.0,1.7799200000000002,0.0,0.0,0.0,0.0,0.0
CON-020,0.01711,0.0,0.18199,83.65028,0.0,0.0,0.0,15.841899999999999,0.0,0.0,0.30056999999999995,0.0,0.0,0.0,0.008140000000000001,0.0
CON-021,0.0,0.0,1.39192,30.44735,0.014669999999999999,0.0,0.0,67.17847,0.0,0.0,0.96758,0.0,0.0,0.0,0.0,0.0
CON-022,0.0,0.0,0.44981000000000004,66.67149000000002,0.007670000000000001,0.0,0.0,30.39309,0.0,0.0,2.4779699999999996,0.0,0.0,0.0,0.0,0.0
CON-023,0.0,0.0,2.1858099999999996,64.62407999999999,0.0,0.0,0.0,29.625020000000003,0.0134,0.0,3.55171,0.0,0.0,0.0,0.0,0.0
CON-026,0.0,0.0,0.65905,41.61797000000001,0.0,0.0,0.0,55.76106,0.0,0.0,1.52356,0.0,0.0,0.0,0.43833,0.0
CON-027,0.0,0.0,0.13202,65.72238,0.0,0.0,0.0,7.39797,0.0,0.0,26.747600000000002,0.0,0.0,0.0,0.0,0.0
CON-028,0.0,0.0,0.33116,42.095980000000004,0.00239,0.0,0.0,41.252100000000006,0.0,0.0,16.31837,0.0,0.0,0.0,0.0,0.0
CON-029,0.0,0.0,6.821259999999999,16.7021,0.02756,0.0,0.0,69.89471,0.0,0.0,6.5543700000000005,0.0,0.0,0.0,0.0,0.0
CON-031,0.0,0.0,7.56507,38.59913000000001,0.15877,0.0,0.0,52.25790999999999,0.0,0.0,1.4191500000000004,0.0,0.0,0.0,0.0,0.0
CON-032,0.0259,0.0,0.32237,84.74423999999999,0.0,0.0,0.0,11.398130000000004,0.0,0.0,2.48482,0.0,0.0,0.0,1.02454,0.0
CON-033,0.0,0.0,0.40719,73.24146,0.0,0.0,0.0,24.527540000000002,0.0,0.0,1.80865,0.0,0.0,0.0,0.01515,0.0
CON-034,0.0,0.0,0.07337,76.35765,0.0,0.0,0.0,21.77128,0.0,0.0,1.77132,0.0,0.01053,0.0,0.0159,0.0
CON-035,0.0,0.0,5.8438,35.30489000000001,0.0008900000000000001,0.0,0.0,58.160849999999996,0.0,0.0,0.68097,0.0,0.00856,0.0,0.0,0.0
CON-036,0.0,0.0,0.54523,55.183310000000006,0.0,0.0,0.0,39.63911,0.15162,0.0,2.4224999999999994,0.0,0.0,0.0,2.0582599999999998,0.0
CON-037,0.014100000000000001,0.0,0.6185299999999999,90.52674999999998,0.0,0.0,0.0,6.81135,0.0,0.0,2.02923,0.0,0.0,0.0,0.0,0.0
CON-038,0.0,0.0,9.950260000000002,59.97253000000002,0.00716,0.0,0.0,25.046450000000004,0.0,0.0,5.02155,0.0,0.0,0.0020399999999999997,0.0,0.0
CON-039,0.0,0.0,3.46638,53.60514,0.011989999999999999,0.0,0.0,16.968099999999996,1.96081,0.0,23.97908,0.0,0.0,0.0,0.0,0.00847
CON-040,0.0,0.0,11.52083,19.1576,0.0,0.0,0.0,65.13707,0.0,0.0,4.12355,0.0,0.01166,0.00951,0.03973,0.0
CON-041,0.0,0.0,1.0474299999999999,67.00545000000001,0.0,0.0,0.0072,21.940079999999995,0.0,0.0,8.19495,0.0,0.0,0.0,1.80487,0.0
CON-042,1.28245,0.0042,0.30627,55.198049999999995,0.0,0.0,0.0,11.353119999999999,0.0,0.0,31.59331999999999,0.0,0.2626,0.0,0.0,0.0
CON-043,0.00271,0.0,2.1868400000000006,54.91583,0.0029100000000000003,0.0,0.0,28.044250000000012,0.04514,0.0,13.019420000000002,0.0,0.007559999999999999,0.0,1.77535,0.0
CON-044,0.005830000000000001,0.0,4.99978,50.87422999999999,0.00131,0.0,0.0049,32.69416000000001,0.0,0.0,11.419770000000003,0.0,0.0,0.0,0.0,0.0
