SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanococci,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Aquificae|c__Aquificae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Chlorobi|c__Chlorobia,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__Spirochaetia,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes,k__Eukaryota|p__Ascomycota|c__Saccharomycetes
S118,0.0,0.0,0.0,1.03501,0.0,31.471610000000002,0.0,0.0,0.0,0.0,0.0,0.032850000000000004,46.71647,1.1999,5.588780000000001,0.0,0.0,0.5838699999999999,0.28469,1.2703300000000002,0.0,11.8165,0.0,0.0
S121,0.0,0.0,0.0,6.420959999999999,0.0,21.00911,0.0,0.0,0.0,0.0,0.0,4.086240000000001,60.59086000000001,2.8712599999999995,3.63297,0.0,0.0,0.62144,0.1873,0.01959,0.0,0.56028,0.0,0.0
S126,4.52716,0.00787,0.0,9.63777,0.0,15.99319,0.0,0.0,0.0,0.0,0.0,0.58699,50.87495,1.50083,8.22158,0.0,0.0,0.08282,0.70635,0.01896,0.0,7.84156,0.0,0.0
S127,0.7853399999999999,0.0060799999999999995,0.0,2.8172800000000002,0.0,8.266089999999998,0.0,0.0,0.0,0.0,0.0,1.48951,84.816,0.13742000000000001,0.10156,0.0,0.0,0.10102,0.65783,0.0,0.0,0.82181,0.0,0.0
S137,9.11862,0.02806,0.0,2.39934,0.0,20.292720000000003,0.058839999999999996,0.0,0.0,0.0,0.03897,0.0424,64.84460999999999,1.07451,1.4770800000000002,0.0,0.0,0.0,0.26,0.20272,0.0022600000000000003,0.15988,0.0,0.0
S141,0.17687999999999998,0.0,0.0,5.27902,0.0,27.046539999999997,0.0,0.0,0.0,0.0,0.0,3.07159,59.86024999999999,0.03285,3.3533,0.0,0.0,0.4630000000000001,0.45858999999999994,0.13038,0.0,0.12759,0.0,0.0
S143,1.7296,0.0,0.0,6.6100900000000005,0.0,18.882509999999996,0.0,0.0,0.0,0.0,0.0,3.5144800000000003,54.5848,5.28379,7.06808,0.0,0.0,0.19582,0.21403999999999998,1.15717,0.0,0.75961,0.0,0.0
S146,0.0,0.0,0.0,6.424600000000001,0.0,8.032920000000003,0.0,0.0,0.0,0.0,0.0,6.140140000000001,64.6882,1.5687600000000004,0.9160999999999999,0.0,0.0,0.00659,0.14428000000000002,11.93721,0.0,0.14122,0.0,0.0
S153,0.0,0.0,0.0,4.441,0.0,14.393130000000001,0.0,0.0,0.0,0.0,0.0,0.85258,77.95964000000001,1.7107700000000003,0.00503,0.0,0.0,0.07571,0.31387000000000004,0.22616,0.0,0.022090000000000002,0.0,0.0
S155,0.34945000000000004,0.0,0.0,5.182779999999999,0.0,15.816499999999998,0.0,0.0,0.0,0.0,0.0,0.9261499999999999,69.68376000000005,0.12644,3.398909999999999,0.0,0.0,0.11377999999999999,0.39217,0.41282,0.0,3.59725,0.0,0.0
S158,0.17472000000000001,0.0,0.0,2.1695500000000005,0.0,29.822930000000003,0.0,0.0,0.0,0.0,0.0,0.0953,61.00415,0.12965000000000002,4.40536,0.0,0.0,0.27151,0.50259,0.14613,0.0,1.2782,0.0,0.0
S187,0.79147,0.0,0.0,6.17885,0.0,10.862800000000002,0.0,0.0,0.0,0.0,0.0,1.27853,71.84083,0.06385,4.8522799999999995,0.0,0.0,0.31613,0.18087,0.08392,0.0,3.5504800000000003,0.0,0.0
S193,3.91875,0.00624,0.0,5.7370399999999995,0.0,30.33135,0.0,0.0,0.0,0.0,0.01734,0.41707,47.81942000000001,1.15905,8.79485,0.0,0.0,0.45369000000000004,0.6710200000000001,0.015190000000000002,0.0,0.6572100000000001,0.0,0.0017699999999999999
S194,0.0,0.0,0.0,0.45863,0.0,15.113019999999995,0.0,0.0,0.0,0.0,0.0,0.19507,44.73146,0.15454,0.007409999999999999,0.0,0.0,0.42821,0.35396,38.44735,0.0,0.11034000000000001,0.0,0.0
S195,0.0,0.0,0.00643,3.0329099999999998,0.0,6.364990000000001,0.0,0.0,0.0,0.0,0.0,1.28772,78.81144000000003,1.10667,5.211680000000001,0.0,0.0,0.00633,0.03721,0.0,0.0,4.13468,0.0,0.0
S198,1.8294400000000002,0.0,0.0,5.78891,0.0,9.13754,0.0,0.0,0.0,0.0,0.0,0.8272700000000001,77.7193,0.12216,3.2198500000000005,0.0,0.0,0.0,0.0,0.7805399999999999,0.0,0.57493,0.0,0.0
S205,0.0,0.0,0.0,0.23709999999999998,0.0,39.15611,0.0,0.0,0.0,0.0,0.0,0.29061999999999993,36.00664999999999,3.5504800000000003,3.96975,0.0,0.0,0.04247,1.4841400000000002,4.06326,0.0,11.19943,0.0,0.0
S224,3.3017800000000004,0.0,0.0,0.52878,0.0,27.61896,0.0,0.0,0.0,0.0,0.0,0.8608200000000001,56.231730000000006,0.27709,1.7748799999999998,0.0,0.0,0.07901,0.15120999999999998,9.1572,0.0,0.01769,0.0,0.0008900000000000001
S225,0.0,0.0,0.0,4.60701,0.0,19.712529999999997,0.0,0.0,0.0031,0.0,0.0,0.6137400000000001,67.66838999999999,0.04213,0.0439,0.0,0.0,0.17293999999999998,0.04234,0.11702999999999998,0.0,6.976839999999999,0.0,0.0
S231,14.790880000000001,0.00836,0.0,2.3627400000000005,0.0,4.034999999999999,0.0,0.0,0.0,0.0,0.0,0.6664200000000001,46.25311000000001,1.16489,0.16243,0.0,0.0,0.0,0.21244,27.99296,0.0,2.3507700000000002,0.0,0.0
S235,0.0,0.0,0.0,20.346069999999997,0.0,4.96356,0.0,0.0,0.0,0.0,0.0,5.52772,47.60923000000001,2.47717,10.031409999999997,0.0,0.0,0.0,0.0,1.25129,0.0,7.79355,0.0,0.0
S244,0.0,0.0,0.0,4.782830000000001,0.0,7.571229999999999,0.0,0.0,0.0,0.0,0.0,0.6361899999999999,60.44357999999999,0.62019,4.1088499999999994,0.0,0.0,0.14489,0.0,21.681400000000004,0.0,0.01084,0.0,0.0
S248,0.0,0.0,0.0,11.139030000000002,0.0,14.935049999999997,0.0,0.0,0.0,0.0,0.0,7.127910000000002,52.795609999999996,5.558769999999999,2.20378,0.0,0.0,0.06405,0.08717,3.6215800000000002,0.0,2.46705,0.0,0.0
S258,0.0069900000000000006,0.0,0.0,4.901299999999999,0.0,6.11146,0.0,0.0,0.0,0.0,0.0,0.04945,81.00897,0.12915,5.06228,0.0,0.0,0.0,0.14524,1.4747599999999998,0.0,1.11038,0.0,0.0
S263,18.38305,0.0,0.0,3.0185400000000007,0.0,8.3747,0.0,0.0,0.0,0.0,0.0,1.09578,56.149499999999996,0.16567,0.14908,0.0,0.0,0.0,0.0,0.0,0.0022,12.6615,0.0,0.0
S264,3.7141900000000003,0.0,0.0,5.82179,0.0,18.54819,0.0,0.0,0.0,0.0,0.0,0.10878,58.23309999999999,1.7633299999999998,5.7875,0.0,0.0,0.1752,0.0,0.16247,0.0,5.68543,0.0,0.0
S268,0.0,0.0,0.0,9.394010000000002,0.0,3.85153,0.0,0.0,0.0,0.0,0.0,0.5606099999999998,84.83964000000005,0.1681,1.0143,0.0,0.0,0.06774,0.0,0.08907,0.0,0.015,0.0,0.0
S269,0.0,0.0,0.0,3.1037799999999995,0.0,6.60814,0.0,0.0,0.0,0.0,0.0,1.6523599999999998,65.27099999999999,0.23187,8.409009999999999,0.0,0.0,0.01803,0.14031000000000002,0.17182,0.0,14.39369,0.0,0.0
S286,0.62543,0.0,0.02111,9.45074,0.0,24.16778,0.0,0.0,0.0,0.0,0.0,0.7709699999999999,56.43518,0.08185,4.08782,0.0,0.0,0.13035,0.05208,0.34085,0.0,3.8358199999999996,0.0,0.0
S288,0.0,0.0,0.0,2.20302,0.0,28.821070000000002,0.0,0.0,0.0,0.0,0.0,0.028310000000000002,56.23560000000001,1.58141,0.00974,0.0,0.0,0.0,0.42696,0.66957,0.0,10.00966,0.0,0.014660000000000001
S297,0.39316,0.0,0.0,10.67437,0.0,9.740499999999999,0.0,0.0,0.0,0.0,0.0,2.85536,69.46683,0.0842,5.37307,0.0,0.0,0.2343,0.18598,0.30448,0.0,0.68774,0.0,0.0
S334,0.0,0.0,0.0,16.491649999999996,0.0,0.8050800000000001,0.0,0.0,0.0,0.0,0.0,0.3501,81.09115000000001,0.10297999999999999,0.35902,0.0,0.0,0.0,0.0158,0.06343,0.0,0.69633,0.0,0.02444
S344,0.0,0.0,0.0,3.33732,0.0,26.986349999999998,0.0,0.0,0.0,0.0,0.0,0.9534199999999999,62.783489999999986,0.29938000000000003,4.96112,0.0,0.0,0.22057,0.28630999999999995,0.030350000000000002,0.0,0.14167000000000002,0.0,0.0
S353,0.0,0.0,0.0,2.77408,0.0,5.122969999999999,0.0,0.0,0.0049299999999999995,0.0,0.0,0.21627999999999997,79.99807000000001,2.73657,8.18221,0.0,0.0,0.015319999999999999,0.02187,0.67469,0.0,0.2242,0.0,0.028859999999999997
S365,8.111699999999999,0.0,0.0,1.1069299999999997,0.0,12.108979999999999,0.0,0.0,0.0,0.0,0.008879999999999999,3.70874,28.382320000000004,0.93975,4.95808,0.0,0.0,0.06519,0.18252000000000002,31.83316,0.0,8.589269999999999,0.0,0.00447
S370,0.0,0.0,0.0,2.58176,0.0,18.612579999999998,0.0,0.0,0.0,0.0,0.0,4.74526,71.58135000000001,0.21178999999999998,0.12506,0.0,0.0,0.03494,0.49547,1.20083,0.0,0.41093,0.0,0.0
S378,3.1252400000000002,0.0,0.0,0.8166999999999999,0.0,19.36322,0.0,0.0,0.0,0.0,0.0,0.29558,72.71461,1.21935,0.79543,0.0,0.0,0.16868,0.06803,1.36393,0.0,0.06924,0.0,0.0
S380,1.99995,0.0,0.0,5.17254,0.0,6.2184,0.0,0.0,0.0,0.0,0.0,2.3576300000000003,77.81736000000001,5.117219999999999,0.02241,0.0,0.0,0.0,0.0029100000000000003,0.010790000000000001,0.0,1.28035,0.0,0.00044
S381,3.6252699999999995,0.0,0.0,7.51552,0.0,10.638340000000001,0.0,0.0,0.0,0.0,0.0,13.25916,54.257,2.49215,1.18832,0.0,0.0,0.0,0.20228000000000002,6.81472,0.0,0.0,0.0,0.0072
S389,0.0,0.0,0.0,6.29086,0.0,11.98215,0.0,0.0,0.0,0.0,0.0,5.7072400000000005,52.02758000000001,0.40541,11.304219999999999,0.0,0.0,0.0,0.6392599999999999,9.982700000000001,0.0,1.6442299999999999,0.01634,0.0
