SampleID,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Acidobacteria,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Aquificae,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Candidatus_Saccharibacteria,k__Bacteria|p__Chlorobi,k__Bacteria|p__Deinococcus_Thermus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Fusobacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Spirochaetes,k__Bacteria|p__Verrucomicrobia,k__Eukaryota|p__Ascomycota
S118,0.0,0.0,1.03501,0.0,31.471610000000002,0.0,0.0,0.0,53.538000000000004,0.0,2.13889,0.0,11.8165,0.0
S121,0.0,0.0,6.420959999999999,0.0,21.00911,0.0,0.0,0.0,71.18133,0.0,0.82833,0.0,0.56028,0.0
S126,4.53503,0.0,9.63777,0.0,15.99319,0.0,0.0,0.0,61.18435,0.0,0.8081299999999999,0.0,7.84156,0.0
S127,0.7914199999999999,0.0,2.8172800000000002,0.0,8.266089999999998,0.0,0.0,0.0,86.54449000000001,0.0,0.75885,0.0,0.82181,0.0
S137,9.14668,0.0,2.39934,0.0,20.351560000000003,0.0,0.0,0.03897,67.43860000000001,0.0,0.46272,0.0022600000000000003,0.15988,0.0
S141,0.17687999999999998,0.0,5.27902,0.0,27.046539999999997,0.0,0.0,0.0,66.31798999999998,0.0,1.0519700000000003,0.0,0.12759,0.0
S143,1.7296,0.0,6.6100900000000005,0.0,18.882509999999996,0.0,0.0,0.0,70.45115000000001,0.0,1.56703,0.0,0.75961,0.0
S146,0.0,0.0,6.424600000000001,0.0,8.032920000000003,0.0,0.0,0.0,73.31320000000002,0.0,12.08808,0.0,0.14122,0.0
S153,0.0,0.0,4.441,0.0,14.393130000000001,0.0,0.0,0.0,80.52801999999998,0.0,0.61574,0.0,0.022090000000000002,0.0
S155,0.34945000000000004,0.0,5.182779999999999,0.0,15.816499999999998,0.0,0.0,0.0,74.13526000000005,0.0,0.91877,0.0,3.59725,0.0
S158,0.17472000000000001,0.0,2.1695500000000005,0.0,29.822930000000003,0.0,0.0,0.0,65.63446,0.0,0.9202299999999999,0.0,1.2782,0.0
S187,0.79147,0.0,6.17885,0.0,10.862800000000002,0.0,0.0,0.0,78.03549,0.0,0.58092,0.0,3.5504800000000003,0.0
S193,3.92499,0.0,5.7370399999999995,0.0,30.33135,0.0,0.0,0.01734,58.190390000000015,0.0,1.1399000000000001,0.0,0.6572100000000001,0.0017699999999999999
S194,0.0,0.0,0.45863,0.0,15.113019999999995,0.0,0.0,0.0,45.088480000000004,0.0,39.22952,0.0,0.11034000000000001,0.0
S195,0.0,0.00643,3.0329099999999998,0.0,6.364990000000001,0.0,0.0,0.0,86.41751000000002,0.0,0.04354,0.0,4.13468,0.0
S198,1.8294400000000002,0.0,5.78891,0.0,9.13754,0.0,0.0,0.0,81.88857999999999,0.0,0.7805399999999999,0.0,0.57493,0.0
S205,0.0,0.0,0.23709999999999998,0.0,39.15611,0.0,0.0,0.0,43.81749999999998,0.0,5.5898699999999995,0.0,11.19943,0.0
S224,3.3017800000000004,0.0,0.52878,0.0,27.61896,0.0,0.0,0.0,59.14452,0.0,9.387419999999999,0.0,0.01769,0.0008900000000000001
S225,0.0,0.0,4.60701,0.0,19.712529999999997,0.0031,0.0,0.0,68.36816,0.0,0.33231,0.0,6.976839999999999,0.0
S231,14.799240000000001,0.0,2.3627400000000005,0.0,4.034999999999999,0.0,0.0,0.0,48.24685,0.0,28.2054,0.0,2.3507700000000002,0.0
S235,0.0,0.0,20.346069999999997,0.0,4.96356,0.0,0.0,0.0,65.64553000000002,0.0,1.25129,0.0,7.79355,0.0
S244,0.0,0.0,4.782830000000001,0.0,7.571229999999999,0.0,0.0,0.0,65.80881000000001,0.0,21.826290000000004,0.0,0.01084,0.0
S248,0.0,0.0,11.139030000000002,0.0,14.935049999999997,0.0,0.0,0.0,67.68607000000002,0.0,3.7728,0.0,2.46705,0.0
S258,0.0069900000000000006,0.0,4.901299999999999,0.0,6.11146,0.0,0.0,0.0,86.24985,0.0,1.6199999999999999,0.0,1.11038,0.0
S263,18.38305,0.0,3.0185400000000007,0.0,8.3747,0.0,0.0,0.0,57.56002999999998,0.0,0.0,0.0022,12.6615,0.0
S264,3.7141900000000003,0.0,5.82179,0.0,18.54819,0.0,0.0,0.0,65.89271,0.0,0.33767,0.0,5.68543,0.0
S268,0.0,0.0,9.394010000000002,0.0,3.85153,0.0,0.0,0.0,86.58265000000007,0.0,0.15681,0.0,0.015,0.0
S269,0.0,0.0,3.1037799999999995,0.0,6.60814,0.0,0.0,0.0,75.56424,0.0,0.33016,0.0,14.39369,0.0
S286,0.62543,0.02111,9.45074,0.0,24.16778,0.0,0.0,0.0,61.375820000000004,0.0,0.52328,0.0,3.8358199999999996,0.0
S288,0.0,0.0,2.20302,0.0,28.821070000000002,0.0,0.0,0.0,57.85506000000001,0.0,1.09653,0.0,10.00966,0.014660000000000001
S297,0.39316,0.0,10.67437,0.0,9.740499999999999,0.0,0.0,0.0,77.77946000000001,0.0,0.72476,0.0,0.68774,0.0
S334,0.0,0.0,16.491649999999996,0.0,0.8050800000000001,0.0,0.0,0.0,81.90325000000001,0.0,0.07923,0.0,0.69633,0.02444
S344,0.0,0.0,3.33732,0.0,26.986349999999998,0.0,0.0,0.0,68.99740999999997,0.0,0.53723,0.0,0.14167000000000002,0.0
S353,0.0,0.0,2.77408,0.0,5.122969999999999,0.0049299999999999995,0.0,0.0,91.13313,0.0,0.71188,0.0,0.2242,0.028859999999999997
S365,8.111699999999999,0.0,1.1069299999999997,0.0,12.108979999999999,0.0,0.0,0.008879999999999999,37.98888999999999,0.0,32.08087,0.0,8.589269999999999,0.00447
